"country","gii_rank","gii","mat_mort","adol_birth","rep_parl","secedu_f","secedu_m","lab_f","lab_m","secedu_f.ratio","lab_f.ratio","hdi_rank","hdi","life_exp","edu_exp","edu_now","gni_cpta","gni_hdi_rank"
"Afghanistan",171,0.693,400,86.8,27.6,5.9,29.8,15.8,79.5,0.198,0.1987,171,0.465,60.4,9.3,3.2,"1,885",-7
"Albania",85,0.217,21,15.3,20.7,81.8,87.9,44.9,65.5,0.9306,0.6855,85,0.733,77.8,11.8,9.3,"9,943",14
"Algeria",83,0.413,89,10,25.7,26.7,31,15.2,72.2,0.8613,0.2105,83,0.736,74.8,14,7.6,"13,054",-1
"Andorra",34,NA,NA,NA,50,49.5,49.3,NA,NA,1.0041,NA,34,0.845,81.3,13.5,9.6,"43,978",-18
"Angola",149,NA,460,170.2,36.8,NA,NA,63.3,76.9,NA,0.8231,149,0.532,52.3,11.4,4.7,"6,822",-30
"Antigua and Barbuda",58,NA,NA,49.3,25.7,NA,NA,NA,NA,NA,NA,58,0.783,76.1,14,9.2,"20,070",-1
"Arab States",NA,0.537,155,45.4,14,34.7,47.6,23.2,75.3,0.729,0.3081,NA,0.686,70.6,12,6.4,"15,722",NA
"Argentina",40,0.376,69,54.4,36.8,56.3,57.6,47.5,75,0.9774,0.6333,40,0.836,76.3,17.9,9.8,"22,050",11
"Armenia",85,0.318,29,27.1,10.7,94,95,54.2,72.6,0.9895,0.7466,85,0.733,74.7,12.3,10.9,"8,124",22
"Australia",2,0.11,6,12.1,30.5,94.3,94.6,58.8,71.8,0.9968,0.8189,2,0.935,82.4,20.2,13,"42,261",17
"Austria",23,0.053,4,4.1,30.3,100,100,54.6,67.7,1,0.8065,23,0.885,81.4,15.7,10.8,"43,869",-5
"Azerbaijan",78,0.303,26,40,15.6,93.7,97.4,62.9,69.6,0.962,0.9037,78,0.751,70.8,11.9,11.2,"16,428",-11
"Bahamas",55,0.298,37,28.5,16.7,91.2,87.6,69.3,79.3,1.0411,0.8739,55,0.79,75.4,12.6,10.9,"21,336",-3
"Bahrain",45,0.265,22,13.8,15,56.7,51.4,39.2,86.9,1.1031,0.4511,45,0.824,76.6,14.4,9.4,"38,599",-20
"Bangladesh",142,0.503,170,80.6,20,34.1,41.3,57.4,84.1,0.8257,0.6825,142,0.57,71.6,10,5.1,"3,191",5
"Barbados",57,0.357,52,48.4,19.6,89.5,87.7,65.9,76.6,1.0205,0.8603,57,0.785,75.6,15.4,10.5,"12,488",27
"Belarus",50,0.151,1,20.6,30.1,87,92.2,50.1,63.1,0.9436,0.794,50,0.798,71.3,15.7,12,"16,676",14
"Belgium",21,0.063,6,6.7,42.4,77.5,82.9,47.5,59.3,0.9349,0.801,21,0.89,80.8,16.3,11.3,"41,187",0
"Belize",101,0.426,45,71.4,13.3,76.4,75.8,49.2,82.3,1.0079,0.5978,101,0.715,70,13.6,10.5,"7,614",9
"Benin",166,0.614,340,90.2,8.4,11.3,27,67.6,78.3,0.4185,0.8633,166,0.48,59.6,11.1,3.3,"1,767",0
"Bhutan",132,0.457,120,40.9,8.3,34,34.5,66.7,77.2,0.9855,0.864,132,0.605,69.5,12.6,3,"7,176",-17
"Bolivia (Plurinational State of)",119,0.444,200,71.9,51.8,47.6,59.1,64.2,80.9,0.8054,0.7936,119,0.662,68.3,13.2,8.2,"5,760",4
"Bosnia and Herzegovina",85,0.201,8,15.1,19.3,44.9,69.8,34.1,57.3,0.6433,0.5951,85,0.733,76.5,13.6,8.3,"9,638",19
"Botswana",106,0.48,170,44.2,9.5,73.6,77.9,71.9,81.6,0.9448,0.8811,106,0.698,64.5,12.5,8.9,"16,646",-41
"Brazil",75,0.457,69,70.8,9.6,54.6,52.4,59.4,80.8,1.042,0.7351,75,0.755,74.5,15.2,7.7,"15,175",-1
"Brunei Darussalam",31,NA,27,23,NA,63.9,67.8,52.6,75.3,0.9425,0.6985,31,0.856,78.8,14.5,8.8,"72,570",-26
"Bulgaria",59,0.212,5,35.9,20.4,93,95.7,47.9,59,0.9718,0.8119,59,0.782,74.2,14.4,10.6,"15,596",13
"Burkina Faso",183,0.631,400,115.4,13.3,0.9,3.2,77.1,90,0.2812,0.8567,183,0.402,58.7,7.8,1.4,"1,591",-13
"Burundi",184,0.492,740,30.3,34.9,5.3,8.3,83.3,82,0.6386,1.0159,184,0.4,56.7,10.1,2.7,"758",1
"Cabo Verde",122,NA,53,70.6,20.8,NA,NA,51.5,83.7,NA,0.6153,122,0.646,73.3,13.5,4.7,"6,094",-1
"Cambodia",143,0.477,170,44.3,19,9.9,22.9,78.8,86.5,0.4323,0.911,143,0.555,68.4,10.9,4.4,"2,949",7
"Cameroon",153,0.587,590,115.8,27.1,21.3,34.9,63.8,76.8,0.6103,0.8307,153,0.512,55.5,10.4,6,"2,803",-1
"Canada",9,0.129,11,14.5,28.2,100,100,61.6,71,1,0.8676,9,0.913,82,15.9,13,"42,155",11
"Central African Republic",187,0.655,880,98.3,12.5,10.1,26.7,72.6,85.1,0.3783,0.8531,187,0.35,50.7,7.2,4.2,"581",1
"Chad",185,0.706,980,152,14.9,1.7,9.9,64,79.2,0.1717,0.8081,185,0.392,51.6,7.4,1.9,"2,085",-22
"Chile",42,0.338,22,55.3,15.8,73.3,76.4,49.2,74.8,0.9594,0.6578,42,0.832,81.7,15.2,9.8,"21,290",11
"China",90,0.191,32,8.6,23.6,58.7,71.9,63.9,78.3,0.8164,0.8161,90,0.727,75.8,13.1,7.5,"12,547",-7
"Colombia",97,0.429,83,68.5,20.9,56.9,55.6,55.8,79.7,1.0234,0.7001,97,0.72,74,13.5,7.3,"12,040",-9
"Comoros",159,NA,350,51.1,3,NA,NA,35.2,80.1,NA,0.4395,159,0.503,63.3,11.5,4.6,"1,456",16
"Congo",136,0.593,410,126.7,11.5,39.7,47,68.5,73,0.8447,0.9384,136,0.591,62.3,11.1,6.1,"6,012",-14
"Congo (Democratic Republic of the)",176,0.673,730,135.3,8.2,12.8,32.4,70.7,73.2,0.3951,0.9658,176,0.433,58.7,9.8,6,"680",11
"Costa Rica",69,0.349,38,60.8,33.3,50.7,50.5,46.6,79,1.004,0.5899,69,0.766,79.4,13.9,8.4,"13,413",10
"Côte d'Ivoire",172,0.679,720,130.3,9.2,14,30.1,52.4,81.4,0.4651,0.6437,172,0.462,51.5,8.9,4.3,"3,171",-24
"Croatia",47,0.149,13,12.7,25.8,85,93.6,44.7,58.4,0.9081,0.7654,47,0.818,77.3,14.8,11,"19,409",11
"Cuba",67,0.356,80,43.1,48.9,74.3,78.8,43.4,70,0.9429,0.62,67,0.769,79.4,13.8,11.5,"7,301",47
"Cyprus",32,0.124,10,5.5,12.5,76,81.7,56,71.1,0.9302,0.7876,32,0.85,80.2,14,11.6,"28,633",3
"Czech Republic",28,0.091,5,4.9,18.9,99.9,99.7,51.1,68.3,1.002,0.7482,28,0.87,78.6,16.4,12.3,"26,660",10
"Denmark",4,0.048,5,5.1,38,95.5,96.6,58.7,66.4,0.9886,0.884,4,0.923,80.2,18.7,12.7,"44,025",11
"Djibouti",168,NA,230,18.6,12.7,NA,NA,36.3,67.7,NA,0.5362,168,0.47,62,6.4,3.8,"3,276",-22
"Dominica",94,NA,NA,NA,21.9,29.7,23.2,NA,NA,1.2802,NA,94,0.724,77.8,12.7,7.9,"9,994",4
"Dominican Republic",101,0.477,100,99.6,19.1,55.6,53.1,51.3,78.6,1.0471,0.6527,101,0.715,73.5,13.1,7.6,"11,883",-12
"East Asia and the Pacific",NA,0.328,72,21.2,18.7,54.7,66.3,62.6,79.4,0.825,0.7884,NA,0.71,74,12.7,7.5,"11,449",NA
"Ecuador",88,0.407,87,77,41.6,40.1,39.4,54.7,82.7,1.0178,0.6614,88,0.732,75.9,14.2,7.6,"10,605",7
"Egypt",108,0.573,45,43,2.2,43.9,60.6,23.7,74.8,0.7244,0.3168,108,0.69,71.1,13.5,6.6,"10,512",-12
"El Salvador",116,0.427,69,76,27.4,36.8,43.6,47.8,79,0.844,0.6051,116,0.666,73,12.3,6.5,"7,349",-3
"Equatorial Guinea",138,NA,290,112.6,19.7,NA,NA,80.7,92.2,NA,0.8753,138,0.587,57.6,9,5.5,"21,056",-84
"Eritrea",186,NA,380,65.3,22,NA,NA,80,89.8,NA,0.8909,186,0.391,63.7,4.1,3.9,"1,130",-6
"Estonia",30,0.164,11,16.8,19.8,100,100,56.2,68.9,1,0.8157,30,0.861,76.8,16.5,12.5,"25,214",12
"Ethiopia",174,0.558,420,78.4,25.5,7.8,18.2,78.2,89.3,0.4286,0.8757,174,0.442,64.1,8.5,2.4,"1,428",2
"Europe and Central Asia",NA,0.3,28,30.8,19,70.8,80.6,45.6,70,0.8784,0.6514,NA,0.748,72.3,13.6,10,"12,791",NA
"Fiji",90,0.418,59,42.8,14,64.2,64.5,37.5,72,0.9953,0.5208,90,0.727,70,15.7,9.9,"7,493",21
"Finland",24,0.075,4,9.2,42.5,100,100,55.7,64,1,0.8703,24,0.883,80.8,17.1,10.3,"38,695",0
"France",22,0.088,12,5.7,25.7,78,83.2,50.7,61.6,0.9375,0.8231,22,0.888,82.2,16,11.1,"38,056",4
"Gabon",110,0.514,240,103,16.2,53.9,36.1,56.2,65.4,1.4931,0.8593,110,0.684,64.4,12.5,7.8,"16,367",-42
"Gambia",175,0.622,430,115.8,9.4,17.4,31.5,72.2,82.9,0.5524,0.8709,175,0.441,60.2,8.8,2.8,"1,507",-2
"Georgia",76,0.382,41,46.8,11.3,89.7,92.7,56.5,75.1,0.9676,0.7523,76,0.754,74.9,13.8,12.1,"7,164",40
"Germany",6,0.041,7,3.8,36.9,96.3,97,53.6,66.4,0.9928,0.8072,6,0.916,80.9,16.5,13.1,"43,919",11
"Ghana",140,0.554,380,58.4,10.9,45.2,64.7,67.3,71.4,0.6986,0.9426,140,0.579,61.4,11.5,7,"3,852",-1
"Greece",29,0.146,5,11.9,21,59.5,67,44.2,62.5,0.8881,0.7072,29,0.865,80.9,17.6,10.3,"24,524",14
"Grenada",79,NA,23,35.4,25,NA,NA,NA,NA,NA,NA,79,0.75,73.4,15.8,8.6,"10,939",14
"Guatemala",128,0.533,140,97.2,13.3,21.9,23.2,49.3,88.2,0.944,0.559,128,0.627,71.8,10.7,5.6,"6,929",-11
"Guinea",182,NA,650,131,21.9,NA,NA,65.6,78.3,NA,0.8378,182,0.411,58.8,8.7,2.4,"1,096",0
"Guinea-Bissau",178,NA,560,99.3,13.7,NA,NA,68.2,78.5,NA,0.8688,178,0.42,55.2,9,2.8,"1,362",-1
"Guyana",124,0.515,250,88.5,31.3,60.3,47.8,42.6,80.5,1.2615,0.5292,124,0.636,66.4,10.3,8.5,"6,522",-4
"Haiti",163,0.603,380,42,3.5,22.4,35.2,60.9,71,0.6364,0.8577,163,0.483,62.8,8.7,4.9,"1,669",4
"Honduras",131,0.48,120,84,25.8,28,25.8,42.8,82.9,1.0853,0.5163,131,0.606,73.1,11.1,5.5,"3,938",7
"Hong Kong, China (SAR)",12,NA,NA,3.3,NA,72.2,79.2,51.3,67.8,0.9116,0.7566,12,0.91,84,15.6,11.2,"53,959",-2
"Hungary",44,0.209,14,12.1,10.1,97.9,98.7,44.8,60,0.9919,0.7467,44,0.828,75.2,15.4,11.6,"22,916",3
"Iceland",16,0.087,4,11.5,41.3,91,91.6,70.5,77.4,0.9934,0.9109,16,0.899,82.6,19,10.6,"35,182",12
"India",130,0.563,190,32.8,12.2,27,56.6,27,79.9,0.477,0.3379,130,0.609,68,11.7,5.4,"5,497",-4
"Indonesia",110,0.494,190,48.3,17.1,39.9,49.2,51.4,84.2,0.811,0.6105,110,0.684,68.9,13,7.6,"9,788",-9
"Iran (Islamic Republic of)",69,0.515,23,31.6,3.1,62.2,67.6,16.6,73.6,0.9201,0.2255,69,0.766,75.4,15.1,8.2,"15,440",4
"Iraq",121,0.539,67,68.7,26.5,27.8,50.2,14.9,69.8,0.5538,0.2135,121,0.654,69.4,10.1,6.4,"14,003",-44
"Ireland",6,0.113,9,8.2,19.9,80.5,78.6,53.1,68.1,1.0242,0.7797,6,0.916,80.9,18.6,12.2,"39,568",16
"Israel",18,0.101,2,7.8,22.5,84.4,87.3,57.9,69.1,0.9668,0.8379,18,0.894,82.4,16,12.5,"30,676",16
"Italy",27,0.068,4,4,30.1,71.2,80.5,39.6,59.5,0.8845,0.6655,27,0.873,83.1,16,10.1,"33,030",4
"Jamaica",99,0.43,80,70.1,16.7,74,70.2,56.1,70.9,1.0541,0.7913,99,0.719,75.7,12.4,9.7,"7,415",13
"Japan",20,0.133,6,5.4,11.6,87,85.8,48.8,70.4,1.014,0.6932,20,0.891,83.5,15.3,11.5,"36,927",7
